id,date,city,screen,source,severity,task,success,quote
F001,2026-03-04,Dubai,Fare estimate,usability test,high,Compare fare before booking,fail,"I tapped Book and the fare jumped 12 AED. I thought the number on the map was the price."
F002,2026-03-04,Dubai,Fare estimate,usability test,high,Understand surge,fail,"It said 'Busy area' but not why my ride costs more. I assumed Careem was just charging extra."
F003,2026-03-05,Riyadh,Fare estimate,app store,medium,Trust the estimate,fail,"The estimate said 28 SAR. The trip ended at 36. I screenshot everything now."
F004,2026-03-05,Lahore,Fare estimate,nps follow-up,high,Decide go vs stay,fail,"Promo showed 20% off, then the fare barely moved. I don't know what the promo actually applied to."
F005,2026-03-06,Cairo,Fare estimate,support ticket,medium,Pay with cash,pass,"Cash still works, but I only saw the total after the captain arrived. Too late to change my mind."
F006,2026-03-06,Dubai,Captain matching,usability test,high,Wait for a captain,fail,"The spinner just says Finding a captain. After 40 seconds I thought the app froze."
F007,2026-03-07,Jeddah,Captain matching,usability test,high,Know who is coming,fail,"I wanted to see nearby cars on the map while it searched. Blank map made me anxious."
F008,2026-03-07,Karachi,Captain matching,app store,medium,Cancel during wait,fail,"I cancelled after 2 minutes and got a fee warning that wasn't there when I first booked."
F009,2026-03-08,Amman,Captain matching,nps follow-up,medium,Share trip early,fail,"I wanted to share my trip with my brother before a captain accepted. The button was greyed out."
F010,2026-03-08,Riyadh,Captain matching,usability test,high,Feel progress,fail,"It flipped from 8 min away to 3 min with no explanation. I didn't trust the ETA after that."
F011,2026-03-09,Dubai,Pickup pin,usability test,critical,Set pickup,fail,"The pin snapped to the mall entrance across the street. I couldn't nudge it onto my side."
F012,2026-03-09,Lahore,Pickup pin,usability test,high,Find my building,fail,"Search found the street but not my society gate. I had to drop a pin and hope."
F013,2026-03-10,Cairo,Pickup pin,app store,high,Correct a wrong pin,fail,"Captain called because pickup was behind the building. Editing the pin mid-wait restarted matching."
F014,2026-03-10,Baghdad,Pickup pin,support ticket,medium,Use saved places,fail,"Home is saved, but Work keeps resetting to a random street. I retype it every morning."
F015,2026-03-11,Jeddah,Drop-off,usability test,medium,Add a stop,fail,"I found Add stop only after booking. I wanted to add the pharmacy before confirming."
F016,2026-03-11,Dubai,Drop-off,usability test,high,Change destination,fail,"I changed drop-off in-trip and the fare preview disappeared. I confirmed blind."
F017,2026-03-12,Riyadh,Home,usability test,medium,Start a ride fast,fail,"Food, Pay, and Boxes sit above Ride. I just want a car. Too many choices for a 7am commute."
F018,2026-03-12,Karachi,Home,nps follow-up,low,Discover services,pass,"I like seeing everything in one place, but Ride should stay one tap from open."
F019,2026-03-13,Cairo,Home,app store,medium,Switch language,fail,"I switched to Arabic and the Ride card title stayed in English. Felt unfinished."
F020,2026-03-13,Amman,Home,usability test,medium,Read the screen,fail,"Promos take half the home screen. I had to scroll to find Where to."
F021,2026-03-14,Dubai,Payment,usability test,high,Pay with card,fail,"Card failed with 'Try again'. No reason. I didn't know if I was charged."
F022,2026-03-14,Riyadh,Payment,support ticket,critical,Use Careem Pay,fail,"Wallet deducted twice. The receipt still said pending. I opened the bank app to check."
F023,2026-03-15,Lahore,Payment,usability test,medium,Choose cash vs card,fail,"Cash vs card is buried under a tiny chevron. I booked on card by accident."
F024,2026-03-15,Jeddah,Payment,app store,high,Apply a promo,fail,"Promo field appears after payment method. I entered the code too late and it vanished."
F025,2026-03-16,Dubai,In-trip,usability test,high,Follow the trip,fail,"Map recentered on me, not the captain. I kept losing the car."
F026,2026-03-16,Cairo,In-trip,nps follow-up,medium,Contact captain,fail,"Call captain is behind a menu. In a rush I couldn't find it."
F027,2026-03-17,Karachi,In-trip,usability test,high,Feel safe,fail,"Share trip needs two taps and a contact picker. I wanted one tap to a trusted person."
F028,2026-03-17,Riyadh,In-trip,usability test,medium,Know arrival,fail,"Arriving now disappeared, then the captain was already outside. No knock or call."
F029,2026-03-18,Dubai,Safety,usability test,critical,Use women-preferred,fail,"I couldn't tell if Women preferred was on until after matching. The toggle is easy to miss."
F030,2026-03-18,Jeddah,Safety,nps follow-up,high,Share live location,fail,"Family sharing asked for contacts permission again. I abandoned it in the back seat."
F031,2026-03-19,Amman,Safety,app store,medium,Report an issue,fail,"Report is after the trip ends. I wanted to flag something while still in the car."
F032,2026-03-19,Lahore,Receipt,usability test,medium,Understand charges,fail,"Toll + waiting + adjustment. I needed a plain-language line for each, not codes."
F033,2026-03-20,Cairo,Receipt,support ticket,high,Dispute a fare,fail,"I couldn't find Help from the receipt. I had to leave the trip history entirely."
F034,2026-03-20,Dubai,Notifications,usability test,medium,Stay updated,fail,"I got Captain arriving and Captain delayed in the same minute. Which one is true?"
F035,2026-03-21,Riyadh,Notifications,app store,low,Mute noise,pass,"Trip updates are useful. Promo pushes at 11pm are not."
F036,2026-03-21,Karachi,Onboarding,usability test,medium,Create an account,fail,"Phone OTP took 90 seconds. The screen told me to wait 30. I requested a new code too early."
F037,2026-03-22,Baghdad,Onboarding,usability test,high,Enter destination,fail,"First-run asked for location permission after I typed a drop-off. The map then wiped my text."
F038,2026-03-22,Dubai,Captain profile,usability test,low,Trust the captain,pass,"Photo, plate, and rating are clear. I just wish the plate was larger at night."
F039,2026-03-23,Jeddah,Captain profile,nps follow-up,medium,Confirm the car,fail,"Two white Camrys arrived. Plate was in a small grey type. I almost got in the wrong car."
